result,table,_time,moisture
mean,0,2024-09-29 12:00:00+00:00,2082.0
mean,0,2024-09-29 18:00:00+00:00,2112.0
mean,0,2024-09-30 00:00:00+00:00,2107.0
mean,0,2024-09-30 06:00:00+00:00,2161.0
mean,0,2024-09-30 12:00:00+00:00,2131.0
mean,0,2024-09-30 18:00:00+00:00,2133.0
mean,0,2024-10-01 00:00:00+00:00,2154.0
mean,0,2024-10-01 06:00:00+00:00,2163.0
mean,0,2024-10-01 12:00:00+00:00,2174.0
mean,0,2024-10-01 18:00:00+00:00,2224.0
mean,0,2024-10-02 00:00:00+00:00,2224.0
mean,0,2024-10-02 06:00:00+00:00,2241.0
mean,0,2024-10-02 12:00:00+00:00,2276.0
mean,0,2024-10-02 18:00:00+00:00,2380.0
mean,0,2024-10-03 00:00:00+00:00,2384.0
mean,0,2024-10-03 06:00:00+00:00,2432.0
mean,0,2024-10-03 12:00:00+00:00,2482.0
mean,0,2024-10-03 18:00:00+00:00,2441.0
mean,0,2024-10-04 00:00:00+00:00,2436.0
mean,0,2024-10-04 06:00:00+00:00,2421.0
mean,0,2024-10-04 12:00:00+00:00,2445.0
mean,0,2024-10-04 18:00:00+00:00,2448.0
mean,0,2024-10-05 00:00:00+00:00,2473.0
mean,0,2024-10-05 06:00:00+00:00,2515.0
mean,0,2024-10-05 12:00:00+00:00,2549.0
mean,0,2024-10-05 18:00:00+00:00,2525.0
mean,0,2024-10-06 00:00:00+00:00,2659.0
mean,0,2024-10-06 06:00:00+00:00,2646.0
mean,0,2024-10-06 12:00:00+00:00,2607.0
mean,0,2024-10-06 18:00:00+00:00,2608.0
mean,0,2024-10-07 00:00:00+00:00,2652.0
mean,0,2024-10-07 06:00:00+00:00,2678.0
mean,0,2024-07-02 12:00:00+00:00,2090.0
mean,0,2024-07-02 18:00:00+00:00,2033.0
mean,0,2024-07-03 00:00:00+00:00,2029.0
mean,0,2024-07-03 06:00:00+00:00,2035.0
mean,0,2024-07-03 12:00:00+00:00,2033.0
mean,0,2024-07-03 18:00:00+00:00,2060.0
mean,0,2024-07-04 00:00:00+00:00,
mean,0,2024-07-04 06:00:00+00:00,
mean,0,2024-07-04 12:00:00+00:00,2077.0
mean,0,2024-07-04 18:00:00+00:00,2112.0
mean,0,2024-07-05 00:00:00+00:00,2119.0
mean,0,2024-07-05 06:00:00+00:00,2129.0
mean,0,2024-07-05 12:00:00+00:00,2142.0
mean,0,2024-07-05 18:00:00+00:00,
mean,0,2024-07-06 00:00:00+00:00,
mean,0,2024-07-06 06:00:00+00:00,
mean,0,2024-07-06 12:00:00+00:00,
mean,0,2024-07-06 18:00:00+00:00,
mean,0,2024-07-07 00:00:00+00:00,
mean,0,2024-07-07 06:00:00+00:00,
mean,0,2024-07-07 12:00:00+00:00,
mean,0,2024-07-07 18:00:00+00:00,
mean,0,2024-07-08 00:00:00+00:00,
mean,0,2024-07-08 06:00:00+00:00,
mean,0,2024-07-08 12:00:00+00:00,2441.0
mean,0,2024-07-08 18:00:00+00:00,2403.0
mean,0,2024-07-09 00:00:00+00:00,2432.0
mean,0,2024-07-09 06:00:00+00:00,2432.0
mean,0,2024-07-09 12:00:00+00:00,2448.0
mean,0,2024-07-09 18:00:00+00:00,2480.0
mean,0,2024-07-10 00:00:00+00:00,2497.0
mean,0,2024-07-10 06:00:00+00:00,2499.0
mean,0,2024-07-10 12:00:00+00:00,2510.0
mean,0,2024-07-10 18:00:00+00:00,2531.0
mean,0,2024-07-11 00:00:00+00:00,2539.0
mean,0,2024-07-11 06:00:00+00:00,2559.0
mean,0,2024-07-11 12:00:00+00:00,2583.0
mean,0,2024-07-11 18:00:00+00:00,2620.0
mean,0,2024-07-12 00:00:00+00:00,2608.0
mean,0,2024-07-12 06:00:00+00:00,2629.0
mean,0,2024-07-12 12:00:00+00:00,2645.0
mean,0,2024-07-12 18:00:00+00:00,2655.0
mean,0,2024-07-13 00:00:00+00:00,2667.0
mean,0,2024-07-13 06:00:00+00:00,2692.0
mean,0,2024-07-13 12:00:00+00:00,2710.0
mean,0,2024-07-13 18:00:00+00:00,2725.0
mean,0,2024-07-14 00:00:00+00:00,2736.0
mean,0,2024-07-14 06:00:00+00:00,2753.0
mean,0,2024-07-14 12:00:00+00:00,2789.0
mean,0,2024-07-14 18:00:00+00:00,2799.0
mean,0,2024-07-15 00:00:00+00:00,2829.0
mean,0,2024-07-15 06:00:00+00:00,2857.0
mean,0,2024-07-15 12:00:00+00:00,2892.0
mean,0,2024-07-15 18:00:00+00:00,2948.0
mean,0,2024-07-16 00:00:00+00:00,2961.0
mean,0,2024-07-16 06:00:00+00:00,2990.0
mean,0,2024-07-16 12:00:00+00:00,2157.0
mean,0,2024-07-16 18:00:00+00:00,2112.0
mean,0,2024-07-17 00:00:00+00:00,2134.0
mean,0,2024-07-17 06:00:00+00:00,2159.0
mean,0,2024-07-17 12:00:00+00:00,2209.0
mean,0,2024-07-17 18:00:00+00:00,2209.0
mean,0,2024-07-18 00:00:00+00:00,2241.0
mean,0,2024-07-18 06:00:00+00:00,2269.0
mean,0,2024-07-18 12:00:00+00:00,2277.0
mean,0,2024-07-18 18:00:00+00:00,2324.0
mean,0,2024-07-19 00:00:00+00:00,2347.0
mean,0,2024-07-19 06:00:00+00:00,2369.0
mean,0,2024-07-19 12:00:00+00:00,2389.0
mean,0,2024-07-19 18:00:00+00:00,2416.0
mean,0,2024-07-20 00:00:00+00:00,2438.0
mean,0,2024-07-20 06:00:00+00:00,2447.0
mean,0,2024-07-20 12:00:00+00:00,2473.0
mean,0,2024-07-20 18:00:00+00:00,2495.0
mean,0,2024-07-21 00:00:00+00:00,2507.0
mean,0,2024-07-21 06:00:00+00:00,2551.0
mean,0,2024-07-21 12:00:00+00:00,2559.0
mean,0,2024-07-21 18:00:00+00:00,2559.0
mean,0,2024-07-22 00:00:00+00:00,2601.0
mean,0,2024-07-22 06:00:00+00:00,2604.0
mean,0,2024-07-22 12:00:00+00:00,2030.0
mean,0,2024-07-22 18:00:00+00:00,2031.0
mean,0,2024-07-23 00:00:00+00:00,2055.0
mean,0,2024-07-23 06:00:00+00:00,2081.0
mean,0,2024-07-23 12:00:00+00:00,2113.0
mean,0,2024-07-23 18:00:00+00:00,2175.0
mean,0,2024-07-24 00:00:00+00:00,2160.0
mean,0,2024-07-24 06:00:00+00:00,2177.0
mean,0,2024-07-24 12:00:00+00:00,2210.0
mean,0,2024-07-24 18:00:00+00:00,2253.0
mean,0,2024-07-25 00:00:00+00:00,2297.0
mean,0,2024-07-25 06:00:00+00:00,2295.0
mean,0,2024-07-25 12:00:00+00:00,2330.0
mean,0,2024-07-25 18:00:00+00:00,2358.0
mean,0,2024-07-26 00:00:00+00:00,2416.0
mean,0,2024-07-26 06:00:00+00:00,2459.0
mean,0,2024-07-26 12:00:00+00:00,2432.0
mean,0,2024-07-26 18:00:00+00:00,2476.0
mean,0,2024-07-27 00:00:00+00:00,2501.0
mean,0,2024-07-27 06:00:00+00:00,2502.0
mean,0,2024-07-27 12:00:00+00:00,2519.0
mean,0,2024-07-27 18:00:00+00:00,2555.0
mean,0,2024-07-28 00:00:00+00:00,2553.0
mean,0,2024-07-28 06:00:00+00:00,2559.0
mean,0,2024-07-28 12:00:00+00:00,2620.0
mean,0,2024-07-28 18:00:00+00:00,2591.0
mean,0,2024-07-29 00:00:00+00:00,2608.0
mean,0,2024-07-29 06:00:00+00:00,2617.0
mean,0,2024-07-29 12:00:00+00:00,1984.0
mean,0,2024-07-29 18:00:00+00:00,1978.0
mean,0,2024-07-30 00:00:00+00:00,1971.0
mean,0,2024-07-30 06:00:00+00:00,2012.0
mean,0,2024-07-30 12:00:00+00:00,2015.0
mean,0,2024-07-30 18:00:00+00:00,2039.0
mean,0,2024-07-31 00:00:00+00:00,2071.0
mean,0,2024-07-31 06:00:00+00:00,2091.0
mean,0,2024-07-31 12:00:00+00:00,2238.0
mean,0,2024-07-31 18:00:00+00:00,2141.0
mean,0,2024-08-01 00:00:00+00:00,2151.0
mean,0,2024-08-01 06:00:00+00:00,2179.0
mean,0,2024-08-01 12:00:00+00:00,2196.0
mean,0,2024-08-01 18:00:00+00:00,2331.0
mean,0,2024-08-02 00:00:00+00:00,2453.0
mean,0,2024-08-02 06:00:00+00:00,2359.0
mean,0,2024-08-02 12:00:00+00:00,2358.0
mean,0,2024-08-02 18:00:00+00:00,2397.0
mean,0,2024-08-03 00:00:00+00:00,2419.0
mean,0,2024-08-03 06:00:00+00:00,2416.0
mean,0,2024-08-03 12:00:00+00:00,2475.0
mean,0,2024-08-03 18:00:00+00:00,2482.0
mean,0,2024-08-04 00:00:00+00:00,2583.0
mean,0,2024-08-04 06:00:00+00:00,2535.0
mean,0,2024-08-04 12:00:00+00:00,2586.0
mean,0,2024-08-04 18:00:00+00:00,2557.0
mean,0,2024-08-05 00:00:00+00:00,2559.0
mean,0,2024-08-05 06:00:00+00:00,2601.0
mean,0,2024-08-05 12:00:00+00:00,2559.0
mean,0,2024-08-05 18:00:00+00:00,2622.0
mean,0,2024-08-06 00:00:00+00:00,2620.0
mean,0,2024-08-06 06:00:00+00:00,2627.0
mean,0,2024-08-06 12:00:00+00:00,2070.0
mean,0,2024-08-06 18:00:00+00:00,2018.0
mean,0,2024-08-07 00:00:00+00:00,2064.0
mean,0,2024-08-07 06:00:00+00:00,2074.0
mean,0,2024-08-07 12:00:00+00:00,2112.0
mean,0,2024-08-07 18:00:00+00:00,2137.0
mean,0,2024-08-08 00:00:00+00:00,2159.0
mean,0,2024-08-08 06:00:00+00:00,2177.0
mean,0,2024-08-08 12:00:00+00:00,2210.0
mean,0,2024-08-08 18:00:00+00:00,2257.0
mean,0,2024-08-09 00:00:00+00:00,2304.0
mean,0,2024-08-09 06:00:00+00:00,2351.0
mean,0,2024-08-09 12:00:00+00:00,2375.0
mean,0,2024-08-09 18:00:00+00:00,2426.0
mean,0,2024-08-10 00:00:00+00:00,2525.0
mean,0,2024-08-10 06:00:00+00:00,2525.0
mean,0,2024-08-10 12:00:00+00:00,2513.0
mean,0,2024-08-10 18:00:00+00:00,2584.0
mean,0,2024-08-11 00:00:00+00:00,2559.0
mean,0,2024-08-11 06:00:00+00:00,2609.0
mean,0,2024-08-11 12:00:00+00:00,2623.0
mean,0,2024-08-11 18:00:00+00:00,2673.0
mean,0,2024-08-12 00:00:00+00:00,2681.0
mean,0,2024-08-12 06:00:00+00:00,2697.0
mean,0,2024-08-12 12:00:00+00:00,2083.0
mean,0,2024-08-12 18:00:00+00:00,2166.0
mean,0,2024-08-13 00:00:00+00:00,2063.0
mean,0,2024-08-13 06:00:00+00:00,2175.0
mean,0,2024-08-13 12:00:00+00:00,2096.0
mean,0,2024-08-13 18:00:00+00:00,2096.0
mean,0,2024-08-14 00:00:00+00:00,2169.0
mean,0,2024-08-14 06:00:00+00:00,2236.0
mean,0,2024-08-14 12:00:00+00:00,2158.0
mean,0,2024-08-14 18:00:00+00:00,2186.0
mean,0,2024-08-15 00:00:00+00:00,2251.0
mean,0,2024-08-15 06:00:00+00:00,2213.0
mean,0,2024-08-15 12:00:00+00:00,2217.0
mean,0,2024-08-15 18:00:00+00:00,2292.0
mean,0,2024-08-16 00:00:00+00:00,2278.0
mean,0,2024-08-16 06:00:00+00:00,2271.0
mean,0,2024-08-16 12:00:00+00:00,2319.0
mean,0,2024-08-16 18:00:00+00:00,2352.0
mean,0,2024-08-17 00:00:00+00:00,2336.0
mean,0,2024-08-17 06:00:00+00:00,2358.0
mean,0,2024-08-17 12:00:00+00:00,2383.0
mean,0,2024-08-17 18:00:00+00:00,2391.0
mean,0,2024-08-18 00:00:00+00:00,2427.0
mean,0,2024-08-18 06:00:00+00:00,2429.0
mean,0,2024-08-18 12:00:00+00:00,2474.0
mean,0,2024-08-18 18:00:00+00:00,2515.0
mean,0,2024-08-19 00:00:00+00:00,2497.0
mean,0,2024-08-19 06:00:00+00:00,2492.0
mean,0,2024-08-19 12:00:00+00:00,2444.0
mean,0,2024-08-19 18:00:00+00:00,2506.0
mean,0,2024-08-20 00:00:00+00:00,2481.0
mean,0,2024-08-20 06:00:00+00:00,2486.0
mean,0,2024-08-20 12:00:00+00:00,2490.0
mean,0,2024-08-20 18:00:00+00:00,2508.0
mean,0,2024-08-21 00:00:00+00:00,2518.0
mean,0,2024-08-21 06:00:00+00:00,2558.0
mean,0,2024-08-21 12:00:00+00:00,2549.0
mean,0,2024-08-21 18:00:00+00:00,2659.0
mean,0,2024-08-22 00:00:00+00:00,2653.0
mean,0,2024-08-22 06:00:00+00:00,2672.0
mean,0,2024-08-22 12:00:00+00:00,2678.0
mean,0,2024-08-22 18:00:00+00:00,2704.0
mean,0,2024-08-23 00:00:00+00:00,2720.0
mean,0,2024-08-23 06:00:00+00:00,2742.0
mean,0,2024-08-23 12:00:00+00:00,2756.0
mean,0,2024-08-23 18:00:00+00:00,2781.0
mean,0,2024-08-24 00:00:00+00:00,2819.0
mean,0,2024-08-24 06:00:00+00:00,2832.0
mean,0,2024-08-24 12:00:00+00:00,2866.0
mean,0,2024-08-24 18:00:00+00:00,2891.0
mean,0,2024-08-25 00:00:00+00:00,2954.0
mean,0,2024-08-25 06:00:00+00:00,2951.0
mean,0,2024-08-25 12:00:00+00:00,3007.0
mean,0,2024-08-25 18:00:00+00:00,3056.0
mean,0,2024-08-26 00:00:00+00:00,3071.0
mean,0,2024-08-26 06:00:00+00:00,3165.0
mean,0,2024-08-26 12:00:00+00:00,2291.0
mean,0,2024-08-26 18:00:00+00:00,2416.0
mean,0,2024-08-27 00:00:00+00:00,2406.0
mean,0,2024-08-27 06:00:00+00:00,2483.0
mean,0,2024-08-27 12:00:00+00:00,2288.0
mean,0,2024-08-27 18:00:00+00:00,2310.0
mean,0,2024-08-28 00:00:00+00:00,2347.0
mean,0,2024-08-28 06:00:00+00:00,2352.0
mean,0,2024-08-28 12:00:00+00:00,2404.0
mean,0,2024-08-28 18:00:00+00:00,2403.0
mean,0,2024-08-29 00:00:00+00:00,2431.0
mean,0,2024-08-29 06:00:00+00:00,2421.0
mean,0,2024-08-29 12:00:00+00:00,2496.0
mean,0,2024-08-29 18:00:00+00:00,2465.0
mean,0,2024-08-30 00:00:00+00:00,2496.0
mean,0,2024-08-30 06:00:00+00:00,2513.0
mean,0,2024-08-30 12:00:00+00:00,2535.0
mean,0,2024-08-30 18:00:00+00:00,2554.0
mean,0,2024-08-31 00:00:00+00:00,2559.0
mean,0,2024-08-31 06:00:00+00:00,2593.0
mean,0,2024-08-31 12:00:00+00:00,2605.0
mean,0,2024-08-31 18:00:00+00:00,2630.0
mean,0,2024-09-01 00:00:00+00:00,2640.0
mean,0,2024-09-01 06:00:00+00:00,2655.0
mean,0,2024-09-01 12:00:00+00:00,2682.0
mean,0,2024-09-01 18:00:00+00:00,2708.0
mean,0,2024-09-02 00:00:00+00:00,2694.0
mean,0,2024-09-02 06:00:00+00:00,2772.0
mean,0,2024-09-02 12:00:00+00:00,2754.0
mean,0,2024-09-02 18:00:00+00:00,2767.0
mean,0,2024-09-03 00:00:00+00:00,2801.0
mean,0,2024-09-03 06:00:00+00:00,2812.0
mean,0,2024-09-03 12:00:00+00:00,2038.0
mean,0,2024-09-03 18:00:00+00:00,2055.0
mean,0,2024-09-04 00:00:00+00:00,2035.0
mean,0,2024-09-04 06:00:00+00:00,2065.0
mean,0,2024-09-04 12:00:00+00:00,2289.0
mean,0,2024-09-04 18:00:00+00:00,2319.0
mean,0,2024-09-05 00:00:00+00:00,2387.0
mean,0,2024-09-05 06:00:00+00:00,2352.0
mean,0,2024-09-05 12:00:00+00:00,2352.0
mean,0,2024-09-05 18:00:00+00:00,2384.0
mean,0,2024-09-06 00:00:00+00:00,2415.0
mean,0,2024-09-06 06:00:00+00:00,2391.0
mean,0,2024-09-06 12:00:00+00:00,2437.0
mean,0,2024-09-06 18:00:00+00:00,2535.0
mean,0,2024-09-07 00:00:00+00:00,2545.0
mean,0,2024-09-07 06:00:00+00:00,2590.0
mean,0,2024-09-07 12:00:00+00:00,2608.0
mean,0,2024-09-07 18:00:00+00:00,2634.0
mean,0,2024-09-08 00:00:00+00:00,2709.0
mean,0,2024-09-08 06:00:00+00:00,2737.0
mean,0,2024-09-08 12:00:00+00:00,2679.0
mean,0,2024-09-08 18:00:00+00:00,2697.0
mean,0,2024-09-09 00:00:00+00:00,2736.0
mean,0,2024-09-09 06:00:00+00:00,2757.0
mean,0,2024-09-09 12:00:00+00:00,2757.0
mean,0,2024-09-09 18:00:00+00:00,2667.0
mean,0,2024-09-10 00:00:00+00:00,2701.0
mean,0,2024-09-10 06:00:00+00:00,2704.0
mean,0,2024-09-10 12:00:00+00:00,2736.0
mean,0,2024-09-10 18:00:00+00:00,2780.0
mean,0,2024-09-11 00:00:00+00:00,2790.0
mean,0,2024-09-11 06:00:00+00:00,2783.0
mean,0,2024-09-11 12:00:00+00:00,2019.0
mean,0,2024-09-11 18:00:00+00:00,2027.0
mean,0,2024-09-12 00:00:00+00:00,2086.0
mean,0,2024-09-12 06:00:00+00:00,2011.0
mean,0,2024-09-12 12:00:00+00:00,2058.0
mean,0,2024-09-12 18:00:00+00:00,2031.0
mean,0,2024-09-13 00:00:00+00:00,2047.0
mean,0,2024-09-13 06:00:00+00:00,2047.0
mean,0,2024-09-13 12:00:00+00:00,2073.0
mean,0,2024-09-13 18:00:00+00:00,2090.0
mean,0,2024-09-14 00:00:00+00:00,2109.0
mean,0,2024-09-14 06:00:00+00:00,2117.0
mean,0,2024-09-14 12:00:00+00:00,2123.0
mean,0,2024-09-14 18:00:00+00:00,2155.0
mean,0,2024-09-15 00:00:00+00:00,2186.0
mean,0,2024-09-15 06:00:00+00:00,2192.0
mean,0,2024-09-15 12:00:00+00:00,2197.0
mean,0,2024-09-15 18:00:00+00:00,2226.0
mean,0,2024-09-16 00:00:00+00:00,2266.0
mean,0,2024-09-16 06:00:00+00:00,2242.0
mean,0,2024-09-16 12:00:00+00:00,2250.0
mean,0,2024-09-16 18:00:00+00:00,2224.0
mean,0,2024-09-17 00:00:00+00:00,2273.0
mean,0,2024-09-17 06:00:00+00:00,2241.0
mean,0,2024-09-17 12:00:00+00:00,2252.0
mean,0,2024-09-17 18:00:00+00:00,2288.0
mean,0,2024-09-18 00:00:00+00:00,2288.0
mean,0,2024-09-18 06:00:00+00:00,2326.0
mean,0,2024-09-18 12:00:00+00:00,2307.0
mean,0,2024-09-18 18:00:00+00:00,2320.0
mean,0,2024-09-19 00:00:00+00:00,2335.0
mean,0,2024-09-19 06:00:00+00:00,2352.0
mean,0,2024-09-19 12:00:00+00:00,2373.0
mean,0,2024-09-19 18:00:00+00:00,2375.0
mean,0,2024-09-20 00:00:00+00:00,2415.0
mean,0,2024-09-20 06:00:00+00:00,2415.0
mean,0,2024-09-20 12:00:00+00:00,2448.0
mean,0,2024-09-20 18:00:00+00:00,2453.0
mean,0,2024-09-21 00:00:00+00:00,2466.0
mean,0,2024-09-21 06:00:00+00:00,2475.0
mean,0,2024-09-21 12:00:00+00:00,2491.0
mean,0,2024-09-21 18:00:00+00:00,2502.0
mean,0,2024-09-22 00:00:00+00:00,2513.0
mean,0,2024-09-22 06:00:00+00:00,2525.0
mean,0,2024-09-22 12:00:00+00:00,2543.0
mean,0,2024-09-22 18:00:00+00:00,2559.0
mean,0,2024-09-23 00:00:00+00:00,2579.0
mean,0,2024-09-23 06:00:00+00:00,2594.0
mean,0,2024-09-23 12:00:00+00:00,1937.0
mean,0,2024-09-23 18:00:00+00:00,1973.0
mean,0,2024-09-24 00:00:00+00:00,1963.0
mean,0,2024-09-24 06:00:00+00:00,1967.0
mean,0,2024-09-24 12:00:00+00:00,1962.0
mean,0,2024-09-24 18:00:00+00:00,1929.0
mean,0,2024-09-25 00:00:00+00:00,1941.0
mean,0,2024-09-25 06:00:00+00:00,1927.0
mean,0,2024-09-25 12:00:00+00:00,1959.0
mean,0,2024-09-25 18:00:00+00:00,1967.0
mean,0,2024-09-26 00:00:00+00:00,1946.0
mean,0,2024-09-26 06:00:00+00:00,1959.0
mean,0,2024-09-26 12:00:00+00:00,1955.0
mean,0,2024-09-26 18:00:00+00:00,1956.0
mean,0,2024-09-27 00:00:00+00:00,1978.0
mean,0,2024-09-27 06:00:00+00:00,1985.0
mean,0,2024-09-27 12:00:00+00:00,2000.0
mean,0,2024-09-27 18:00:00+00:00,1975.0
mean,0,2024-09-28 00:00:00+00:00,1998.0
mean,0,2024-09-28 06:00:00+00:00,2003.0
mean,0,2024-09-28 12:00:00+00:00,2032.0
mean,0,2024-09-28 18:00:00+00:00,2096.0
mean,0,2024-09-29 00:00:00+00:00,2126.0
mean,0,2024-09-29 06:00:00+00:00,2067.0
mean,0,2024-09-29 12:00:00+00:00,2082.0
mean,0,2024-09-29 18:00:00+00:00,2112.0
mean,0,2024-09-30 00:00:00+00:00,2107.0
mean,0,2024-09-30 06:00:00+00:00,2161.0
mean,0,2024-09-30 12:00:00+00:00,2131.0
mean,0,2024-09-30 18:00:00+00:00,2133.0
mean,0,2024-10-01 00:00:00+00:00,2154.0
mean,0,2024-10-01 06:00:00+00:00,2163.0
mean,0,2024-10-01 12:00:00+00:00,2174.0
mean,0,2024-10-01 18:00:00+00:00,2224.0
mean,0,2024-10-02 00:00:00+00:00,2224.0
mean,0,2024-10-02 06:00:00+00:00,2241.0
mean,0,2024-10-02 12:00:00+00:00,2276.0
mean,0,2024-10-02 18:00:00+00:00,2380.0
mean,0,2024-10-03 00:00:00+00:00,2384.0
mean,0,2024-10-03 06:00:00+00:00,2432.0
mean,0,2024-10-03 12:00:00+00:00,2482.0
mean,0,2024-10-03 18:00:00+00:00,2441.0
mean,0,2024-10-04 00:00:00+00:00,2436.0
mean,0,2024-10-04 06:00:00+00:00,2421.0
mean,0,2024-10-04 12:00:00+00:00,2445.0
mean,0,2024-10-04 18:00:00+00:00,2448.0
mean,0,2024-10-05 00:00:00+00:00,2473.0
mean,0,2024-10-05 06:00:00+00:00,2515.0
mean,0,2024-10-05 12:00:00+00:00,2549.0
mean,0,2024-10-05 18:00:00+00:00,2525.0
mean,0,2024-10-06 00:00:00+00:00,2659.0
mean,0,2024-10-06 06:00:00+00:00,2646.0
mean,0,2024-10-06 12:00:00+00:00,2607.0
mean,0,2024-10-06 18:00:00+00:00,2608.0
mean,0,2024-10-07 00:00:00+00:00,2652.0
mean,0,2024-10-07 06:00:00+00:00,2678.0
mean,0,2024-07-02 12:00:00+00:00,2090.0
mean,0,2024-07-02 18:00:00+00:00,2033.0
mean,0,2024-07-03 00:00:00+00:00,2029.0
mean,0,2024-07-03 06:00:00+00:00,2035.0
mean,0,2024-07-03 12:00:00+00:00,2033.0
mean,0,2024-07-03 18:00:00+00:00,2060.0
mean,0,2024-07-04 00:00:00+00:00,
mean,0,2024-07-04 06:00:00+00:00,
mean,0,2024-07-04 12:00:00+00:00,2077.0
mean,0,2024-07-04 18:00:00+00:00,2112.0
mean,0,2024-07-05 00:00:00+00:00,2119.0
mean,0,2024-07-05 06:00:00+00:00,2129.0
mean,0,2024-07-05 12:00:00+00:00,2142.0
mean,0,2024-07-05 18:00:00+00:00,
mean,0,2024-07-06 00:00:00+00:00,
mean,0,2024-07-06 06:00:00+00:00,
mean,0,2024-07-06 12:00:00+00:00,
mean,0,2024-07-06 18:00:00+00:00,
mean,0,2024-07-07 00:00:00+00:00,
mean,0,2024-07-07 06:00:00+00:00,
mean,0,2024-07-07 12:00:00+00:00,
mean,0,2024-07-07 18:00:00+00:00,
mean,0,2024-07-08 00:00:00+00:00,
mean,0,2024-07-08 06:00:00+00:00,
mean,0,2024-07-08 12:00:00+00:00,2441.0
mean,0,2024-07-08 18:00:00+00:00,2403.0
mean,0,2024-07-09 00:00:00+00:00,2432.0
mean,0,2024-07-09 06:00:00+00:00,2432.0
mean,0,2024-07-09 12:00:00+00:00,2448.0
mean,0,2024-07-09 18:00:00+00:00,2480.0
mean,0,2024-07-10 00:00:00+00:00,2497.0
mean,0,2024-07-10 06:00:00+00:00,2499.0
mean,0,2024-07-10 12:00:00+00:00,2510.0
mean,0,2024-07-10 18:00:00+00:00,2531.0
mean,0,2024-07-11 00:00:00+00:00,2539.0
mean,0,2024-07-11 06:00:00+00:00,2559.0
mean,0,2024-07-11 12:00:00+00:00,2583.0
mean,0,2024-07-11 18:00:00+00:00,2620.0
mean,0,2024-07-12 00:00:00+00:00,2608.0
mean,0,2024-07-12 06:00:00+00:00,2629.0
mean,0,2024-07-12 12:00:00+00:00,2645.0
mean,0,2024-07-12 18:00:00+00:00,2655.0
mean,0,2024-07-13 00:00:00+00:00,2667.0
mean,0,2024-07-13 06:00:00+00:00,2692.0
mean,0,2024-07-13 12:00:00+00:00,2710.0
mean,0,2024-07-13 18:00:00+00:00,2725.0
mean,0,2024-07-14 00:00:00+00:00,2736.0
mean,0,2024-07-14 06:00:00+00:00,2753.0
mean,0,2024-07-14 12:00:00+00:00,2789.0
mean,0,2024-07-14 18:00:00+00:00,2799.0
mean,0,2024-07-15 00:00:00+00:00,2829.0
mean,0,2024-07-15 06:00:00+00:00,2857.0
mean,0,2024-07-15 12:00:00+00:00,2892.0
mean,0,2024-07-15 18:00:00+00:00,2948.0
mean,0,2024-07-16 00:00:00+00:00,2961.0
mean,0,2024-07-16 06:00:00+00:00,2990.0
mean,0,2024-07-16 12:00:00+00:00,2157.0
mean,0,2024-07-16 18:00:00+00:00,2112.0
mean,0,2024-07-17 00:00:00+00:00,2134.0
mean,0,2024-07-17 06:00:00+00:00,2159.0
mean,0,2024-07-17 12:00:00+00:00,2209.0
mean,0,2024-07-17 18:00:00+00:00,2209.0
mean,0,2024-07-18 00:00:00+00:00,2241.0
mean,0,2024-07-18 06:00:00+00:00,2269.0
mean,0,2024-07-18 12:00:00+00:00,2277.0
mean,0,2024-07-18 18:00:00+00:00,2324.0
mean,0,2024-07-19 00:00:00+00:00,2347.0
mean,0,2024-07-19 06:00:00+00:00,2369.0
mean,0,2024-07-19 12:00:00+00:00,2389.0
mean,0,2024-07-19 18:00:00+00:00,2416.0
mean,0,2024-07-20 00:00:00+00:00,2438.0
mean,0,2024-07-20 06:00:00+00:00,2447.0
mean,0,2024-07-20 12:00:00+00:00,2473.0
mean,0,2024-07-20 18:00:00+00:00,2495.0
mean,0,2024-07-21 00:00:00+00:00,2507.0
mean,0,2024-07-21 06:00:00+00:00,2551.0
mean,0,2024-07-21 12:00:00+00:00,2559.0
mean,0,2024-07-21 18:00:00+00:00,2559.0
mean,0,2024-07-22 00:00:00+00:00,2601.0
mean,0,2024-07-22 06:00:00+00:00,2604.0
mean,0,2024-07-22 12:00:00+00:00,2030.0
mean,0,2024-07-22 18:00:00+00:00,2031.0
mean,0,2024-07-23 00:00:00+00:00,2055.0
mean,0,2024-07-23 06:00:00+00:00,2081.0
mean,0,2024-07-23 12:00:00+00:00,2113.0
mean,0,2024-07-23 18:00:00+00:00,2175.0
mean,0,2024-07-24 00:00:00+00:00,2160.0
mean,0,2024-07-24 06:00:00+00:00,2177.0
mean,0,2024-07-24 12:00:00+00:00,2210.0
mean,0,2024-07-24 18:00:00+00:00,2253.0
mean,0,2024-07-25 00:00:00+00:00,2297.0
mean,0,2024-07-25 06:00:00+00:00,2295.0
mean,0,2024-07-25 12:00:00+00:00,2330.0
mean,0,2024-07-25 18:00:00+00:00,2358.0
mean,0,2024-07-26 00:00:00+00:00,2416.0
mean,0,2024-07-26 06:00:00+00:00,2459.0
mean,0,2024-07-26 12:00:00+00:00,2432.0
mean,0,2024-07-26 18:00:00+00:00,2476.0
mean,0,2024-07-27 00:00:00+00:00,2501.0
mean,0,2024-07-27 06:00:00+00:00,2502.0
mean,0,2024-07-27 12:00:00+00:00,2519.0
